label,text
promo,"৩৫জিবি+৮০০মিনিট-৬০০টাকা-৩০দিন(বোনাসসহ), নিতে *১২১*৫২৬২# বা mygp.li/a8"
promo,ফিটনেস ইকুইপমেন্টে ১৫% ডিসকাউন্ট! আজই অর্ডার করুন।
normal,কেমন আছে তোমাদের পরিবার?
normal,তোমাদের দিন কেমন কাটছে?
smish,আপনি ৩ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: +8801716677889
normal,বন্ধুরা কেমন আছে?
normal,শুভ প্রভাত!
promo,২৬ জানুয়ারি ২০২৪ আন্তর্জাতিক কাস্টমস দিবস উদযাপিত হচ্ছে। এবারের প্রতিপাদ্য বিষয় ‘‘মিলে নবীন-পুরনো অংশীজন/কাস্টমস করবে লক্ষ্য অর্জন”। জাতীয় রাজস্ব বোর্ড
smish,"আসসালামুআলাইকুম!

আপনি কি বাড়িতে বসে কোন টাকা ইনভেস্টমেন্ট না করে টাকা ইনকাম করতে চান?
তাহলে আমাদের বট এ কাজ করুন। আমাদের বট এ আপনি কোন ইনভেস্টমেন্ট ছাড়া ইনকাম করতে পারবেন।

বট লিঙ্ক: https://t.me/free_online_income_24bot"
promo,অনলাইন শপিংয়ে ২০% পর্যন্ত ডিসকাউন্ট! কোড ব্যবহার করে সুবিধা নিন।
normal,কি খবর তোমাদের?
smish,আপনার অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ হয়েছে। লগইন করে যাচাই করুন: [accountverify.com/VerifyBD]
normal,আজকে কি করছো?
promo,ফ্ল্যাট ১০% ছাড় সারা স্টোরে। কোড: FLAT10. শুধুমাত্র অনলাইনে।
normal,বাড়িতে একটি নতুন বাড়ি পাচ্ছে।
normal,"সাফল্য তোমার দিকে আসবে, ধৈর্য ধরো।"
promo,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।
smish,আপনার ব্যাংক অ্যাকাউন্টে ২ কোটি টাকা জমা হয়েছে! নিশ্চিত করতে কল করুন: +8801917677789
smish,"*বাড়িতে বসে ফর্ম  ফিলাপের কাজ। 
* ৫টা ফর্ম ফিলাপ ৫১০ টাকা, 
আমাদের কোম্পানিতে কিছু লোক নেওয়া হচ্ছে। 
*শিক্ষাগত যোগ্যতা : বাংলা পরতে পারলেই হবে 
*ফোনে WhatsApp থাকতে হবে। 
*বেতন : ৮০০০-১৮০০০ টাকা"
promo,বোনাস সহ ৭জিবি-১৩০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫৪৬৯# বা ভিজিট mygp.li/mo
normal,কি খাবে? আজ মাংসের রান্না হচ্ছে। তুমি?
smish,শাকিবের সই করা বল জিততে ক্রিকেটে বাজি ধরুন! ক্লিক করুন: xini.eu/00Qe
smish,আপনার মোবাইল নম্বরটি হাই-এন্ড ল্যাপটপ জিতেছে! পুরস্কার পেতে কল করুন +8801819900012
normal,আমি যেন কিছু বলতে পারি না।
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
normal,"তুমি পারবে, শুধু লেগে থাকো।"
smish,"উদ্দীপন।Post Name:FPO &
Branch Accountant. Your Exam
Date:04/05/24 (Saturday).
Time:09:00 AM (সকাল)। স্থান:সিলেট জোন অফিস।সাথে দুই কপি পাসপোর্ট সাইজের ছবি,CV, ম্যানুয়াল চাকরির আবেদন (বাংলায়), চাকরি প্রার্থীর রেফারেল ফরম (যদি থাকে),এনআইডি এর ফটোকপি,মূল সনদপত্রের ফটোকপি সত্যায়িত ও মূল সনদপত্র সাথে নিয়ে আসবেন।উদ্দীপন সিলেট জোনেৱ ঠিকানা:বাড়ির নাম: শোভাশ্রম,বাড়ি নম্বর: 2/1,J ব্লক,শাহজালাল উপশহর মেইন রোড,বাইতুল জান্নাত জামে মসজিদ এর বিপরীতে।খেলার মাঠের সংলগ্ন / উপ পুলিশ কমিশনার কার্যালয়ের কাছে।প্রয়োজনে:০১৩২২-৮০ ৩৫১২। আবেদন করবেন এভাবে,
বরাবর,
উপ-পরিচালক ও প্রধান
মানবসম্পদ ও ব্যবস্থাপনা বিভাগ
উদ্দীপন প্রধান কাৰ্যালয়
রিং রোড,আদাবর ঢাকা ১২০৭।"
smish,আপনার ইন্সুরেন্স পলিসি আপডেট করতে এখানে ক্লিক করুন: [insuranceupdate.com/UpdateBD]
normal,তুমি কি পরিবারের সাথে আছো?
smish,"আপনি অনলাইনে একটি খণ্ডকালীন/পূর্ণ-সময়ের চাকরির জন্য নির্বাচিত হয়েছেন। কাজটি খুবই সহজ, কোন সময় সীমা নেই, কোন স্থানের সীমা নেই, এটি ঘরে বসে করা যায়, দৈনিক বেতন 1000-5000TK, একটি চাকরি খুঁজতে হোয়াটসঅ্যাপ ম্যানেজারের সাথে যোগাযোগ করুন:  https://wa.me/8801320862219"
promo,"১২৫৳ ক্যাশব্যাকে সেরা অফার ৬১জিবি+১০০০মি@৳৭৭৪, ৩০দিন: cutt.ly/8wBQC0MC"
smish,"উপবৃত্তির 4200 টাকার জন্য
যোগাযোগ করুন: 01320660547
শিক্ষা বোর্ড"
normal,"রাগ করে কখনো ভালোবাসার মানুষকে কষ্ট দিতে নেই। রাগ কড়ে বেশি অবহেলা করতে নেই, ভালোবাসার মানুষকে। এতে করে জীবনের সবচেয়ে দামী জিনিস, ভালোবাসার মানুষকে হারাতে হয়।"
normal,আজ কেমন লাগছে তোমাকে? ঠিক আছি। আপনার কেমন লাগছে?
smish,আপনার গাড়ির ইন্সুরেন্স নবায়ন করতে কল করুন +8801815566778
normal,আজকের পরিকল্পনা কি?
promo,বোনাস সহ ১জিবি-৩০টাকা-৩দিন। ডায়াল *১২১*৫২১৫# বা https://mygp.li/mo
promo,"হ্যাপি নিউ ইয়ার - ২০২৪
স্মার্ট ব্যাংকিং সেবায় সোনালী ব্যাংক
সর্বদাই আপনার পাশে
মোঃ আফজাল করিম
সিইও এন্ড এমডি"
normal,কি খবর?
promo,বিকাশে ৫০০০ টাকা ডিপোজিট করলে ১০০০ টাকা বোনাস! আজই সুযোগ নিন।
normal,"আপনার পাওনা ৫০০০/- টাকা, জলদি পরিশোধ করুন।"
smish,আপনার ক্রেডিট স্কোর আপডেট করতে কল করুন +8801715566778
promo,বোনাস সহ ২জিবি-৪৫টাকা-৩দিন। ডায়াল *১২১*৫৫৩৪# বা mygp.li/my
promo,"১৫০৳ ক্যাশব্যাকে নাও ডাটা মিক্সার ৮০জিবি@৳৬৯৯,৩০দিন: cutt.ly/lwMwLrfw"
promo,বোনাস সহ ৩জিবি-৬০টাকা-৩দিন। ডায়াল *১২১*৫৬৯৯# বা https://mygp.li/mo
normal,"কষ্ট পেয়ো না, আমি তোমার সাথে আছি।"
normal,কাজ কিভাবে চলছে?
promo,"সর্বকালের সর্বশ্রেষ্ঠ বাঙালি জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান এর ৪৭তম শাহাদত বার্ষিকীতে বিনম্র শ্রদ্ধা""-ডাক ও টেলিযোগাযোগ বিভাগ।"
normal,"কি খবর, হাই?"
promo,"২০০৳ ক্যাশব্যাক শেষ দিন! ৬১জিবি+১০০০মি@৳৬৯৯,৩০দিন: cutt.ly/OwG5T3ub"
normal,পাখিরা গাছে খুব সুন্দর গান গায়।
normal,হ্যালো!
normal,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত https://student.ulab.edu.bd/ লগইন করুন। (ULAB)"
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
smish,"*বাড়িতে বসে ফর্ম  ফিলাপের কাজ। 
* ৫টা ফর্ম ফিলাপ ৫১০ টাকা, 
আমাদের কোম্পানিতে কিছু লোক নেওয়া হচ্ছে। 
*শিক্ষাগত যোগ্যতা : বাংলা পরতে পারলেই হবে 
*ফোনে WhatsApp থাকতে হবে। 
*বেতন : ৮০০০-১৮০০০ টাকা"
smish,আপনার অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ হয়েছে। লগইন করে যাচাই করুন: [accountverify.com/VerifyBD]
promo,ভ্রমণ প্যাকেজে ২০% ছাড়! বুকিং করতে আজই যোগাযোগ করুন।
smish,আপনার ক্রেডিট কার্ড ব্লক করা হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: http://bit.ly/UnblockCard
smish,"২০০ টাকা বিনামূল্যে বোনাস!
৫০০০টাকা জেতার সুযোগ।
https://cutt.ly/JiliG"
normal,আমি যেন তোমার কাছে কিছু বলতে পারি।
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
promo,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।
normal,আমার জন্য কোনো নতুন খবর আছে?
normal,তোমার জন্য একটি ভালো দিন!
smish,জনতা ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: +8801811011023
promo,ব্যালেন্স শেষ? ২০০টাকা পর্যন্ত জিপি ইমার্জেন্সি ব্যালেন্স নিতে *৯#
smish,অভিনন্দন! আপনি ১ কোটি টাকা লটারি জিতেছেন। আপনার পুরস্কার সংগ্রহ করতে আমাদের সাথে যোগাযোগ করুন। যোগাযোগ:০১৫৬৭৫৪৬৩৯০
promo,"৳৩৯৯ তে ৳৪৯৯ এর অফার! নাও ৩১জিবি+৪৫০মি.,৩০দিন: cutt.ly/2wQlYv6U"
smish,আপনার লেনদেনটি সম্পূর্ণ করতে এখানে ক্লিক করুন: [transactioncomplete.com/CompleteBD]
smish,আপনি ৬ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: +8801716566678
normal,"আপনার মেয়ে হাসপাতালে, জলদি টাকা পাঠান ০১৮২৮১৭৩৯১২।"
smish,"প্রিয় শিক্ষার্থী! Coronavirus এর কারণে তোমাদের উপবৃত্তির ৪,২০০ টাকা দেওয়া হচ্ছে। টাকা গ্রহনের জন্য নিম্নোক্ত শিক্ষাবোর্ডের নম্বরে যোগাযোগ করুন।
মোবাঃ 01813849152,
যোগাযোগের সময় সকাল 10 টা রাত 7:30 টা পযন্ত বি:দ্র: একটা বিকাশ নাম্বার নিয়ে ফোন দিতে হবে"
smish,"""অভিনন্দন! আপ্নি পাসেন"" ""বিকাশ"""" & BRAC""""N.G.O"""" pokko teke """"STUDENT বৃত্তি"""" (টাকা-10,499/) আপনার পরিমাণ আইডি: এখন আপনার প্রার্থী নির্বাচন করুন: Bestarito Janta Call korun office: 01794567889 (am 11 to 5pm} ওথোভা""""ঠিক আছে""""লিখা এসএমএস করব? আমড়া আপনের কেচা কল করবো.!"""
normal,"আপনার পেমেন্ট বাকি রয়েছে, ০১৭২৮২৭৩৮১৯ টাকা পাঠান।"
normal,০১৮২৭৩৮২৯১৮ এই নাম্বারে জরুরি টাকা পাঠান।
smish,আপনার সঞ্চয় দ্বিগুণ করার সুযোগ! কল করুন: +8801718788890
smish,"প্রতি রেফারে 75 টাকা সর্বনিম্ন 500 টাকা উইথড্র করতে পারবেন। 

https://t.me/Referincomebd4536_bot?start=r07921710994"
promo,"নগদ থেকে গ্রামীণফোনে ১১৮টাকা রিচার্জে ১১৮টাকা ক্যাশব্যাক! ৬মে, বিকাল ৩টা-সন্ধ্যা ৭টা, মিনিটে ১ম জন। সাথে ৫জিবি, ৭দিন! ডায়াল *১৬৭#"
smish,আপনার গ্যাস বিল বকেয়া রয়েছে। অবিলম্বে পেমেন্ট করুন। কল করুন +8801814455667
normal,তোমার পাশে একটি পাথুরি আছে। ধন্যবাদ।
normal,আজকের আপনার দিন কেমন কাটছে?
normal,০১৭৩৮২৯৩৭৬৫ এই নাম্বারে রকেটে টাকা পাঠান।
promo,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।
smish,কৃষকদের জন্য সরকার দিচ্ছে পঞ্চাশ হাজার টাকা পর্যন্ত ভর্তুকি। ভর্তুকি পেতে এখনই যোগাযোগ করুন ০১৫৩৮২৭২৭৩৪
normal,তোমার সকল ইচ্ছা পূরণ হোক!
smish,"আপনার অ্যাকাউন্টটি অবিলম্বে আপডেট করুন, না হলে এটি বন্ধ হয়ে যাবে। লিঙ্কে ক্লিক করুন: [bit.ly/AccountUpdateBD]"
smish,"Meta pro space কাজ করলে ইনবক্স 
মাত্র ৬ ডলার বাংলা
 ৭৫০ টাকা দিয়ে  একাউন্ট করে লাইফটাইম ইনকাম করুন,  সাথে থাকছে মাসিক বেতন, ৫ লাইন ফ্রী ইনকাম, স্লট ইনকাম, ৩০ জুন এর মধ্যে ১২ ডলার বাংলা ১৫০০ টাকা দিয়ে ২ টা প্রোগ্রাম কিনে নিলে পাচ্ছেন 0.05 bnb এর mps nft ফ্রী অর্থাৎ ২৯ ডলার ফ্রী পাচ্ছেন
বাংলা ৩৬২৫ টাকা| এমন সুযোগ আর পাবেন না, ৩০ জুনের মধ্যে যারা একাউন্ট করবে তারাই পাবে
এমন সুযোগ হাতছাড়া করবেন না
আর বসে না থেকে তাড়াতাড়ি একাউন্ট করে ফেলুন"
smish,জনতা ব্যাংক থেকে জরুরি বার্তা। কল করুন: +8801913233345
promo,ডিজিটাল গ্যাজেটের উপর ১৫% ডিসকাউন্ট! আজই কেনাকাটা করুন এবং বোনাস পান।
smish,সোনালী ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: https://wa.me/8801818899001
normal,আমার কাছে কোনো নতুন খবর আছে?
smish,* FIFA 2022 কার্টেল বিশ্বকাপ দেখার জন্য সারা বিশ্বের মানুষকে বিনামূল্যে 50GB ডেটা দেয়৷* * আই হ্যাভ রিসিভড মাইন।** এটি খুলুন* https://ak76.xyz/?y=ep1669102548
smish,আপনার ডেবিট কার্ডের সীমা বৃদ্ধি করতে এখানে ক্লিক করুন: [debitcardlimit.com/IncreaseBD]
smish,"২০,০০০ টাকা বিনিয়োগে ৬০,০০০ টাকা পান! কল করুন: +8801916566678"
normal,বন্ধুরা কেমন আছে?
smish,আপনার ব্যাংক অ্যাকাউন্টে ১০ কোটি টাকা জমা হয়েছে! নিশ্চিত করতে কল করুন: +8801913233245
promo,দারাজ ১১.১১-তে নগদে ১৫% পর্যন্ত ক্যাশব্যাক + ফ্রি ডেলিভারি। https://click.daraz.com.bd/e/_CUeCuf শর্ত প্রযোজ্য
normal,কেমন চলছে তোমার দিন?
smish,আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [passwordchange.com/ChangeBD]
normal,"তুমি একা নও, আমি আছি।"
promo,বিশেষ অফার: সব বাচ্চাদের পোশাকে ২০% ডিসকাউন্ট।
smish,আপনার কাছে Amazon থেকে $200 নগদ মূল্য রয়েছে 2 দিনের মধ্যে মেয়াদ শেষ হবে৷ আমরা আপনাকে $500 পর্যন্ত পাওনা দিতে পারি। একটি সাম্প্রতিক সিদ্ধান্তের কারণে গত বছর আমরা আপনাকে অনেক বেশি চার্জ করতে পেরেছি। আপনার স্বয়ংক্রিয় সঞ্চয় প্রস্তুত.
smish,"ফ্রী ফেসবুক থেকে ইনকাম করুন ইনবক্স করুন
সততার সাথে কাজ করেন 🥰😍
সাপোর্ট (গ্রুপ এবং বট)
t.me/Facebook_ID_Sell1_bot 
অফিসিয়াল এডমিন👆"
smish,বিপিএলে বাজি ধরুন এবং একটি নতুন বাইক জিতুন! যোগ দিন: smilesvoegol.servebbs.org/voegol.php
promo,"১৩০টাকায় ১৫০মিনিট(৩০দিন) সাথে বোনাস,নিতে*১২১*৫২০৫#  https://mygp.li/a0"
smish,"১,০০,০০০ টাকা বিনিয়োগে ২,০০,০০০ টাকা পান! কল করুন: +8801912122134"
smish,"প্রিয় xxx, অভিনন্দন! আপনার আবেদন এবং রিজিউম যাচাই করার পরে, আমরা আনন্দের সাথে একটি চাকরির প্রস্তাব দিচ্ছি। আপনার গ্রহণযোগ্যতা দিয়ে এই ইমেলটির উত্তর দিন এবং বেতন জমা দেওয়ার জন্য আপনার ব্যাংকের বিবরণ প্রদান করুন।"
promo,"৮জিবি(বোনাসসহ) ১২৩টাকা ১৫দিন।ডায়াল *১২১*৫৫৪৮#, mygp.li/mo"
normal,আশা করি তোমার সফল হোক!
promo,ফ্ল্যাট ১৫% ডিসকাউন্ট সব শপিংয়ে। কোড: DISCOUNT15.
smish,আপনি ৩ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: +8801716677889
normal,"সব ঠিক হয়ে যাবে, চিন্তা কোরো না।"
smish,"প্রিয় গ্রাহক, আপনার কার্ডের নতুন পিন কোড জেনারেট করতে নিচের লিঙ্কে যান এবং পূর্ববর্তী সকল ইনফরমেশন প্রদান করুন, অবশ্যই সঠিক পিন কোডটি শেয়ার করবেন। লিঙ্ক: www.pinupdate.com"
promo,৭৯পয়সা প্রতি মিনিট ১৫দিন মেয়াদের কল রেট অফারটি নিতে ১১৯ টাকা রিচার্জ  করুন। 
promo,নতুন কাস্টমারদের জন্য বিশেষ ডিসকাউন্ট। আজই রেজিস্টার করুন।
smish,আপনার ফোন নম্বরটি যাচাই করা দরকার। এখানে ক্লিক করুন: [phonenumberverify.com/VerifyBD]
normal,আমি যেন কিছু বলতে পারি না।
promo,"৪০৳ চিল ক্যাশব্যাকে ৩৫জিবি+৫০০মি.@৪৫৯৳ ৩০দিন, নাও: cutt.ly/0wO6Jggn"
normal,"তুমি পারবে, আমি জানি।"
smish,মোবাইল দিয়ে টাকা ইনকাম করুন! নতুন উপায় 2023 সালের জন্য। বিস্তারিত জানতে যোগ দিন: https://t.me/Poolsclub
smish,আপনার ডাচ বাংলা ব্যাঙ্ক অ্যাকাউন্টে বিলিং সমস্যা হয়েছে। সমস্যা সমাধানের জন্য এখানে ক্লিক করুন:cutt.ly/U6zMFTY
normal,"সব কিছু ঠিক হয়ে যাবে, ধৈর্য ধরো।"
smish,নগদ অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: +8801812122234
promo,"৪৫৳ ক্যাশব্যাক! ৩১জিবি+৫০০মি.@৪৫৪৳ ৩০দিন, নিয়ে নাও: cutt.ly/qwWTAUku"
smish,"হ্যালো, আমার নাম ALIYE। আপনাকে বিরক্ত করার জন্য দুঃখিত। আমি Amazon.com এর মানবসম্পদ বিভাগ। আমি কি আপনার কয়েক মিনিট সময় নিতে পারি?
দুপুর আড়াইটা
আমাদের কোম্পানী আপনাকে একটি খণ্ডকালীন চাকরি প্রদান করতে পেরে খুশি যা আপনি আপনার অবসর সময়ে করতে পারেন, তাই আমাদের প্রচুর সংখ্যক সমবায় কর্মী নিয়োগ করতে হবে (কোনও ফি এবং বিনিয়োগ নেই)। এই কাজটি সহজ এবং নমনীয় এবং আপনার বর্তমান চাকরিতে হস্তক্ষেপ করবে না। পরে আপনি দিনে মাত্র 5-10 মিনিটে সহজেই 300-1200TK উপার্জন করতে পারবেন। আপনি কি এই চাকরিতে আগ্রহী?"
smish,আপনার বিনামূল্যে পুরস্কার দাবি করতে এই লিঙ্কটি অনুসরণ করুন: http://bit.ly/sdfsdf678
promo,৩০জিবি (বোনাস সহ) ৩০০টাকা ৩০দিন। ডায়াল *১২১*৫২৫৪# বা mygp.li/mo
promo,শুধু আজকে ৳১০০ ক্যাশব্যাক! ৫০জিবি @৳৩৯৮ ৩০দিন: cutt.ly/hwltB5hC
normal,তুমি আমাকে কি বলতে চাও?
normal,প্রাণ চলার জন্য আমার প্রিয় জায়গা বার্বিকিউট।
smish,আপনার ফেসবুক অ্যাকাউন্টটি আপডেট করুন। এখানে ক্লিক করুন: [facebookupdate.com/UpdateBD]
smish,"আপনার জমি বিক্রির টাকা জমা হয়েছে, কল করুন: +8801819900112"
promo,“দ্বাদশ জাতীয় সংসদ নির্বাচনে অংশগ্রহণে ইচ্ছুক প্রার্থীগণ প্রচলিত পদ্ধতির পাশাপাশি অনলাইনেও মনোনয়নপত্র দাখিল করতে পারবেন। অনলাইনে মনোনয়ন দাখিল করতে কমিশনের ওয়েবসাইট www.ecs.gov.bd-এ প্রবেশ করুন”-ইসি
smish,"আড়ং দিচ্ছে ঈদ উপলক্ষে বিশাল অফার ক্লিক করুন 
https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868"
smish,SCHOOL PART TIME TEACHER POST APPLY Now. Online selection process. নাম্বারের ভিত্তিতে নির্বাচন করা হবে. B.SC pass Marksheet and certificate send WhatsApp 7602236317
promo,"৪৫৳ ক্যাশব্যাক! ৩১জিবি+৫০০মি.@৪৫৪৳ ৩০দিন, নিয়ে নাও: cutt.ly/qwWTAUku"
promo,সব কসমেটিক্সে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।
normal,০১৯২৭২৮৩৭৯২ এই নাম্বারে রকেটে টাকা পাঠান।
smish,"bKash অ্যাকাউন্টে ৫,০০০ টাকা জমা হয়েছে। বিস্তারিত জানতে কল করুন: +8801810900912"
promo,বোনাস সহ ২জিবি-৪৫টাকা-৩দিন। ডায়াল *১২১*৫৫৩৪# বা mygp.li/my
normal,বারোমাসের বন্ধুদের সঙ্গে আড্ডা দিতে যাচ্ছি।
promo,"১৫০৳ ক্যাশব্যাকে সেরা অফার ৬১জিবি+১০০০মি@ ৳৭৪৯, ৩০দিন: cutt.ly/NwYKElsc"
smish,"এড ফি লাগবে না। 🎁🎁
প্রতিদিন  $ 1 থেকে  $2 ডলার  ইনকাম করতে পারবেন এছাড়াও আরো ইনকাম আছে যদি কেউ করতে চান ইনবক্সে মেসেজ দেন।"
promo,বিশেষ অফার: সব বাচ্চাদের পোশাকে ২০% ডিসকাউন্ট।
promo,"শুধুমাত্র মাইজিপিতে নতুন সিমের অফার এখন ২জিবি ইন্টারনেট মাত্র ১৭ টাকায়,মেয়াদ ৭দিন(মাসে সর্বোচ্চ একবার)।ভিজিট করুন https://mygp.li/ga"
smish,"আকর্ষণীয় চাকরি এবং পড়াশোনা, মাসিক বেতন 2 লাখ+ এবং পিআর সুযোগ @ দক্ষিণ কোরিয়া।
বিনামূল্যে শিক্ষাদান এবং বাসস্থান.
01720557103
01720557120
01321200716
01550402100"
promo,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/2wQlYv6U"
normal,শুভ নববর্ষ!
normal,"কি খবর, হ্যালো?"
normal,আমি আমার পরিবারের সঙ্গে আমি সময় কাটাতে চাই।
promo,মাত্র ৯৭৳ ৩০দিন বিশ্বকাপ ক্রিকেট + ১জিবি ডাটা নিতে: cutt.ly/YwmtpRRj
normal,কেমন আছো তুমি? আমি ঠিক আছি। তুমি কি নতুন করে?
promo,নতুন সিজনে সব পোশাকে ২৫% ডিসকাউন্ট। আজই শপিং করুন।
promo,"৳৫০ ক্যাশব্যাকে প্রো-লেভেল ডাটা ডিল ৫০জিবি@৳৪৪৮,৩০দিন cutt.ly/nwMwL8Y1"
promo,বোনাস সহ ১জিবি-৩০টাকা-৩দিন। ডায়াল *১২১*৫২১৫# বা https://mygp.li/mo
normal,তুমি কি সমুদ্রে যাচ্ছো?
promo,আমাদের প্রোডাক্টে ডিসকাউন্ট চলছে। বিস্তারিত জানাতে এই নাম্বারে যোগাযোগ করুন: ০১৭৮৯৬৫৪৩২১।
promo,অনলাইন শপিংয়ে ২০% পর্যন্ত ডিসকাউন্ট! কোড ব্যবহার করে সুবিধা নিন।
promo,"৩০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৪৬৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/hwTmxGd8"
normal,০১৬৭২৫৭৩৮৪৮ নাম্বারে কল করুন।
promo,"৩০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৪৬৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/hwTmxGd8"
promo,বোনাস সহ ২জিবি-৩৫টাকা-৭দিন। ডায়াল *১২১*৫০৩৭# বা mygp.li/mo
smish,অ্যাপল আইফোন ১৩ জিতেছেন! ডেলিভারি নিশ্চিত করতে কল করুন: +8801814567890
normal,তোমার পরিশ্রম সার্থক হবে।
smish,অ্যাপল আইফোন ১৫ জিতেছেন! ডেলিভারি নিশ্চিত করতে কল করুন: +8801811011123
smish,আপনার ক্রেডিট কার্ডের লিমিট বাড়াতে এখানে ক্লিক করুন: http://bit.ly/CardLimit
normal,"তুমি যা করতে চাইবে, তা পারবে।"
normal,"এটা রাকিবের নাম্বার, ০১৭৬৩৮৩৯৮৫৪ কল দিস।"
normal,কি খবর?
normal,আমি স্বাস্থ্য মনে হয় এবং আমার শরীর ভালো মনে হয়।
